Red Corner,Blue Corner,Weight Class,Title Fight,Result,Round,Time,Method,Red Corner Bonus Award,Blue Corner Bonus Award,Red Corner Country,Blue Corner Country,Red Corner Odds,Blue Corner Odds
NATE QUARRY,SHONIE CARTER,MIDDLEWEIGHT,NO TITLE,NO CONTEST,1,2:37,KO/TKO,-,-,-,-,-,-
DAVID LOISEAU,CHARLES MCCARTHY,MIDDLEWEIGHT,NO TITLE,NO CONTEST,2,2:10,KO/TKO,-,-,-,-,-,-
NICK DIAZ,KOJI OISHI,WELTERWEIGHT,NO TITLE,NO CONTEST,1,1:24,KO/TKO,-,-,-,-,-,-
NATE MARQUARDT,IVAN SALAVERRY,MIDDLEWEIGHT,NO TITLE,WINNER: NATE MARQUARDT,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
CHRIS LEBEN,PATRICK COTE,MIDDLEWEIGHT,NO TITLE,WINNER: CHRIS LEBEN,3,5:00,DECISION - SPLIT,-,-,-,-,-,-
STEPHAN BONNAR,SAM HOGER,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: STEPHAN BONNAR,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
NATE QUARRY,PETE SELL,MIDDLEWEIGHT,NO TITLE,WINNER: NATE QUARRY,1,0:42,KO/TKO,-,-,-,-,-,-
JOSH KOSCHECK,PETE SPRATT,WELTERWEIGHT,NO TITLE,WINNER: JOSH KOSCHECK,1,1:53,SUBMISSION,-,-,-,-,-,-
MIKE SWICK,GIDEON RAY,MIDDLEWEIGHT,NO TITLE,WINNER: MIKE SWICK,1,0:22,KO/TKO,-,-,-,-,-,-
KENNY FLORIAN,ALEX KARALEXIS,WELTERWEIGHT,NO TITLE,WINNER: KENNY FLORIAN,2,2:52,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
DREW FICKETT,JOSH NEER,WELTERWEIGHT,NO TITLE,WINNER: DREW FICKETT,1,1:35,SUBMISSION,-,-,-,-,-,-
CHUCK LIDDELL,JEREMY HORN,LIGHT HEAVYWEIGHT,TITLE,WINNER: CHUCK LIDDELL,4,2:46,KO/TKO,-,-,-,-,-,-
RANDY COUTURE,MIKE VAN ARSDALE,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: RANDY COUTURE,3,0:52,SUBMISSION,-,-,-,-,-,-
DIEGO SANCHEZ,BRIAN GASSAWAY,WELTERWEIGHT,NO TITLE,WINNER: DIEGO SANCHEZ,2,1:56,KO/TKO,-,-,UNITED STATES,-,-,-
GEORGES ST-PIERRE,FRANK TRIGG,WELTERWEIGHT,NO TITLE,WINNER: FRANK TRIGG,1,4:09,SUBMISSION,-,-,CANADA,-,-,-
TIM SYLVIA,TRA TELLIGMAN,HEAVYWEIGHT,NO TITLE,WINNER: TIM SYLVIA,1,4:59,KO/TKO,-,-,-,-,-,-
MATT LINDLAND,JOE DOERKSEN,MIDDLEWEIGHT,NO TITLE,WINNER: MATT LINDLAND,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
TREVOR PRANGLEY,TRAVIS LUTTER,MIDDLEWEIGHT,NO TITLE,WINNER: TRAVIS LUTTER,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
JAMES IRVIN,TERRY MARTIN,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: JAMES IRVIN,2,0:09,KO/TKO,-,-,-,-,-,-
DAVID LOISEAU,EVAN TANNER,MIDDLEWEIGHT,NO TITLE,WINNER: DAVID LOISEAU,2,4:15,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
CHRIS LEBEN,EDWIN DEWEES,MIDDLEWEIGHT,NO TITLE,WINNER: CHRIS LEBEN,1,3:26,SUBMISSION,-,-,-,-,-,-
BRANDON VERA,FABIANO SCHERNER,HEAVYWEIGHT,NO TITLE,WINNER: BRANDON VERA,2,3:22,KO/TKO,-,-,-,-,-,-
DREW FICKETT,JOSH KOSCHECK,WELTERWEIGHT,NO TITLE,WINNER: DREW FICKETT,3,4:28,SUBMISSION,-,-,-,-,-,-
SPENCER FISHER,THIAGO ALVES,WELTERWEIGHT,NO TITLE,WINNER: SPENCER FISHER,2,4:43,SUBMISSION,-,-,-,BRAZIL,-,-
JON FITCH,BROCK LARSON,MIDDLEWEIGHT,NO TITLE,WINNER: JON FITCH,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
JONATHAN GOULET,JAY HIERON,WELTERWEIGHT,NO TITLE,WINNER: JONATHAN GOULET,3,1:05,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
ANDREI ARLOVSKI,PAUL BUENTELLO,HEAVYWEIGHT,TITLE,WINNER: ANDREI ARLOVSKI,1,0:15,KO/TKO,-,-,UNITED STATES,-,-,-
FORREST GRIFFIN,ELVIS SINOSIC,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: FORREST GRIFFIN,1,3:30,KO/TKO,-,-,-,-,-,-
RENATO SOBRAL,CHAEL SONNEN,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: CHAEL SONNEN,2,1:20,SUBMISSION,-,-,-,-,-,-
BRANDEN LEE HINKLE,SEAN GANNON,HEAVYWEIGHT,NO TITLE,WINNER: BRANDEN LEE HINKLE,1,4:14,KO/TKO,-,-,-,-,-,-
JOE RIGGS,CHRIS LYTLE,WELTERWEIGHT,NO TITLE,WINNER: JOE RIGGS,2,2:00,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
MARCIO CRUZ,KEIGO KUNIHARA,HEAVYWEIGHT,NO TITLE,WINNER: KEIGO KUNIHARA,2,1:02,SUBMISSION,-,-,-,-,-,-
JORGE RIVERA,DENNIS HALLMAN,MIDDLEWEIGHT,NO TITLE,WINNER: DENNIS HALLMAN,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
KENNY FLORIAN,KIT COPE,WELTERWEIGHT,NO TITLE,WINNER: KENNY FLORIAN,2,0:37,SUBMISSION,-,-,-,-,-,-
JOE STEVENSON,LUKE CUMMO,WELTERWEIGHT,NO TITLE,WINNER: JOE STEVENSON,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
RASHAD EVANS,BRAD IMES,HEAVYWEIGHT,NO TITLE,WINNER: RASHAD EVANS,3,5:00,DECISION - SPLIT,-,-,UNITED STATES,-,-,-
DIEGO SANCHEZ,NICK DIAZ,WELTERWEIGHT,NO TITLE,WINNER: DIEGO SANCHEZ,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,-,-,-
KEITH JARDINE,KERRY SCHALL,HEAVYWEIGHT,NO TITLE,WINNER: KEITH JARDINE,2,3:28,KO/TKO,-,-,-,-,-,-
MELVIN GUILLARD,MARCUS DAVIS,WELTERWEIGHT,NO TITLE,WINNER: MELVIN GUILLARD,2,2:55,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
